Original Title,Spotify Title,Spotify Artist
Stayin' Alive - Bee Gees,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack"
Sweet Dreams,Sweet Dreams (Are Made of This) - Remastered
Tainted Love,Tainted Love
Please Mr,Please Mr. Postman - Single Version / Mono
The Final Countdown,The Final Countdown
The Rubberband Man,The Rubberband Man
Van Halen - Jump,Jump - Armin van Buuren Remix
Killer - Jojo's Bizarre Adventure,Killer
Naruto - Strong and Strike,"Strike and Strong - Geki to Geki (From ""Naruto"")"
Naruto - Heavy Violence,"Heavy Violence - From ""Naruto"""
Naruto - The Raising Fighting Spirit,"The Raising Fighting Spirit (From ""Naruto"") - Instrumental"
Neon Genesis Evangelion Theme,A Cruel Angel's Thesis (Neon Genesis Evangelion Theme Rework)
All Of The Stars,All of the Stars
Beside You,beside you
Chasing Cars,Chasing Cars
Daylight,Daylight
Fall For You - Secondhand Serenade,Fall for You (Tribute to Secondhand Serenade)
Fallin' For You,"Still Falling For You - From ""Bridget Jones's Baby"""
First Day Of My Life,First Day of My Life
House Of Memories,House of Memories
I Will Follow You Into The Dark,I Will Follow You into the Dark
I Won't Give Up,I Won't Give Up
I'm Yours,I’m Yours
Just The Way You Are,Just the Way You Are
Kiss Me Kiss Me - 5 Seconds Of Summer,Kiss Me Kiss Me (Originally Performed by 5 Seconds Of Summer) [Karaoke Version]
Little Things,Little Things
Panic! At the Disco - This is Gospel,This Is Gospel - Panic! At The Disco Cover
Perfect,Perfect
Photograph,Photograph
SUBURBIA,Jesus of Suburbia
Sara Bareilles - I Choose You,I Choose You (Originally performed by Sara Bareilles) - Instrumental Version
Shawn Mendes - Never Be Alone,Never Be Alone - Ringtone Tribute to Shawn Mendes
Stand By Me - Ben E,Stand By Me
Train - Drops of Jupiter,Drops of Jupiter (In the Style of Train) - Instrumental Only
for him,for him.
Feel Good Inc,Feel Good Inc.
just bass,Just My Luck
Ain't No Grave,Ain’t No Grave - Live
Cocaine Blues,"Cocaine Blues - Live at Folsom State Prison, Folsom, CA (1st Show) - January 1968"
Folsom Prison Blues,"Folsom Prison Blues - Live at Folsom State Prison, Folsom, CA - January 1968"
God's Gonna Cut You Down,God's Gonna Cut You Down
I Walk the Line,I Walk the Line
"John Denver - Take Me Home, Country Roads",Take Me Home Country Roads - Country Mountain Tributes: John Denver Album Version
Ring of Fire,Ring of Fire
Sweet Home Alabama,Sweet Home Alabama
The Devil Went Down to Georgia,The Devil Went Down to Georgia
Animal I Have Become,Animal I Have Become
Back In Black,Back In Black
Bad to the Bone,Bad To The Bone
Cocaine,Pure Cocaine
Come As You Are - Nirvana,Come As You Are
Conquest,Conquest of Paradise
Crocodile Rock,Crocodile Rock
Dani California,Dani California
Enter Sandman,Enter Sandman (Remastered)
Eye Of The Tiger,Eye of the Tiger
Fortunate Son,Fortunate Son
Godzilla - Blue Oyster Cult,Godzilla - Remastered
Hells Bells,Hells Bells
Hey Bulldog,Hey Bulldog - Remastered 2009
Highway to Hell,Highway to Hell
If You Want Blood,If You Want Blood (You've Got It)
Immigrant Song,Immigrant Song - Remaster
In-A-Gadda-Da-Vida,In-A-Gadda-Da-Vida - Single Version
Iron Man - Black Sabbath,Iron Man - 2012 - Remaster
Karma Chameleon,Karma Chameleon - Remastered 2002
Layla,Layla
Master of Puppets,Master of Puppets (Remastered)
Paranoid,Paranoid - 2012 - Remaster
Pinball Wizard,Pinball Wizard
Run Through The Jungle,Run Through The Jungle
Separate Ways,Separate Ways (Worlds Apart)
Seven Nation Army,Seven Nation Army
Shoot To Thrill,Shoot to Thrill
Smells Like Teen Spirit,Smells Like Teen Spirit
Spirit In The Sky,Spirit In The Sky
T,We Don't Talk About Bruno
The Return Of The Giant Hogweed (Genesis),The Return of the Giant Hogweed
Thunderstruck,Thunderstruck
Trampled Under Foot,Trampled Under Foot - Remaster
War Machine,War Machine
Welcome To The Jungle,Welcome To The Jungle
Wherever I May Roam - Metallica,Wherever I May Roam
Who Are You,A Soulmate Who Wasn’t Meant to Be
Whole Lotta Love (Remaster),Whole Lotta Love - 1990 Remaster
A Man's Gotta Do,What A Man Gotta Do
Bad Horse Chorus,Bad Horse Chorus
Brand New Day,A Brand New Day (BTS World Original Soundtrack) [Pt. 2]
Caring Hands,Caring Hands
Everyone's a Hero,Everyone's A Hero
Everything You Ever,everything i wanted
My Eyes,Doctor My Eyes
My Freeze Ray,My Freeze Ray
Penny's Song,Pennywise French Fries Song
Slipping,Slipping Through My Fingers - From 'Mamma Mia!' Original Motion Picture Soundtrack
So They Say,So They Say
Beautiful,Beautiful Crazy
Berzerk,Berzerk
Lose Yourself,"Lose Yourself - From ""8 Mile"" Soundtrack"
Love The Way You Lie ft,Love the Way You Lie - Originally Performed By Rihanna ft. Eminem
Mockingbird,Mockingbird
No Love ft,No Love ft. Mozzy & Cypress Moreno
Not Afraid,Not Afraid
Rap God,Rap God
The Monster,The Monster
The Real Slim Shady,The Real Slim Shady
Till I Collapse,'Till I Collapse
When I'm Gone,When I’m Gone (with Katy Perry)
Without Me,Without Me
All Star,All The Stars (with SZA)
Come out ye Black and Tans,Come Out Ye Black & Tans
Cracking the Code,Cracking The Russian Codes
Dragostea din tei,Dragostea Din Tei
Istanbul,Istanbul (Not Constantinople)
Ra Ra Rasputin,Rasputin
The Lion Sleeps Tonight - The Tokens,The Lion Sleeps Tonight (Wimoweh)
Why Does the Sun Really Shine,Why Does the Sun Really Shine?
Why Does the Sun Shine,Why Does the Sun Shine?
Castlevania - Dawn of Sorrow - Bloody Tears,Castlevania- Dawn of Sorrow - Bloody Tears Theme
Champion Cynthia Music,"Battle! Champion Cynthia (From ""Pokémon Diamond"")"
Halo Reach Overture,Halo Reach: Overture - Piano Version
Halo Theme,Halo Theme Mjolnir Mix
Metal Gear Solid V - Sins of The Father,"Sins of the Father (From ""Metal Gear Solid V: The Phantom Pain"") - Orchestral Mix"
One Final Effort,One Final Effort
Plants vs Zombies,"Brainiac Maniac (Dr. Zomboss Battle) [From ""Plants Vs. Zombies""]"
Pokémon Theme Song,Pokémon Theme Song
Rayquaza,rayquaza ex
Skyrim Theme Song,Skyrim Main Theme Note Block Cover
Undertale - Megalovania,Megalovania - Undertale Remix
Uxie Mesprit Azelf,"Lake Guardians (Battle! Uxie, Mesprit, Azelf)"
Wii Sports - Wii Sports Theme,Wii Sports Resort - Title Theme
Happy Together - The Turtles,Happy Together - Remastered
Somewhere over the Rainbow - Israel IZ Kamakawiwoʻole,Somewhere Over The Rainbow (Judy Garland Israel Iz Kamakawiwo'ole - Acoustic Instrumental)
"Train - Hey, Soul Sister","Hey, Soul Sister - Train"
Ant Man,Antes De Ti
Avengers Infinity War,Avengers - Infinity War - The Avengers Theme
Avengers Theme,Avengers Theme Kazoo Orchestra
Daredevil,Daredevil
I Just Feel You,If I Didn't Have You
Iron Man Theme,Iron Man Armored Adventures Theme
Portals,Portals
Thor Arrives,Thor Arrives
Thor Ragnarok,Thor: Ragnarok
Winter Soldier Theme,Captain America: The Winter Soldier Theme (From Captain America: The Winter Soldier)
X-Men - The Animated Series Theme Epic Version,X-Men - The Animated Series - Main Theme - Epic Version
Agatha All Along,Agatha All Along
Fireflies,Fireflies
Gucci Gang,Gucci Gang
How Bad Can I Be,How Bad Can I Be?
It's not easy being green,"It's Not Easy Being Green - From ""The Muppet Show"""
Mad World,Mad World (Feat. Michael Andrews)
Ocean Man,Ocean Man
Take On Me,Take on Me
What Does The Fox Say,The Fox (What Does the Fox Say?)
Wide Putin,WIDE PUTIN Song (Reggaeton Remix)
Xenogenesis,Xenogenesis
Calm 1,Con Calma
Calm 2,You Need To Calm Down
Calm 3,Calm Rain pt. 3
Piano 2,Piano G
Piano 3,"Adagio for Glass Harmonica in C, K.356 (Piano Transcription)"
007 Theme,"GoldenEye 007, 007 Watch Theme"
Batman Begins - Barbastella,"Barbastella (From ""Batman Begins"")"
Batman Theme 1989,Batman (1989): Main Theme
Finding Nemo,Finding Nemo
For A Few Dollars More,For a Few Dollars More - Main Theme
GhostBusters Theme Song,Ghostbusters Theme (Lofi Version)
Gonna Fly Now,Gonna Fly Now
Hans Zimmer - Time,Time Hans Zimmer - Remix
Harry Potter Theme,"Hedwig's Theme - From ""Harry Potter and the Philosopher's Stone"""
Incredibles Theme,Pow! Pow! Pow! - Mr. Incredible's Theme
Indiana Jones Theme Song,"The Raiders March / Indiana Jones Theme (From ""Raiders of the Lost Ark"")"
Jurassic Park - Main Theme,"Main Theme (From ""Jurassic Park"")"
Lux Aeterna,"Requiem In D Minor, K.626: 8.Communio: Lux aeterna"
Manta Squadron,Manta Squadron
Mission Impossible,MISSION IMPOSSIBLE (feat. Lil Double 0)
Molossus,Molossus
Monsters Inc,"Monsters, Inc."
O Fortuna,Todo O Nada
Pirates Of The Caribbean Theme Song,Pirates of the Caribbean Theme
Sky Captain,Lucy In The Sky With Diamonds
Skyfall - Adele,Skyfall - Lullaby Version
Spaceballs,Spaceballs
Spectre - Writing's On The Wall,"Writing's On The Wall - From ""Spectre"" Soundtrack"
The Bourne Identity Theme,Jason's Theme
The Godfather,The Boss
"The Good, the Bad, and the Ugly","The Good, The Bad And The Ugly - Main Title"
This Is Halloween,This Is Halloween
Arabian Nights,Arabian Nights
Be Our Guest,"Be Our Guest - From ""Beauty and the Beast""/Soundtrack"
Be Prepared,"Be Prepared - From ""The Lion King"" / Soundtrack Version"
Bibbidi-Bobbidi-Boo,"Bibbidi-Bobbidi-Boo - From ""Cinderella"""
Dig A Little Deeper,Dig a Little Deeper
Everybody wants to be a cat,Everybody Wants to be a Cat (Tendu 2)
Friends on the Other Side,Friends on the Other Side
Hellfire,To the Hellfire
I wanna be like you,I Wanna Bitch Like Dillion Harper
I'll Make A Man Out Of You,"I’ll Make a Man Out of You (from ""Mulan"")"
Never Had A Friend Like Me,Never Had A Friend Like Me
Pink Elephants,Pink Elephants
Poor Unfortunate Souls,Poor Unfortunate Souls
Prince Ali,Miss Americana & The Heartbreak Prince
The Plagues,The Plagues - The Prince Of Egypt/Soundtrack Version
You're Welcome,You’re Welcome
Zero to Hero,Zero To Hero
21 guns,21 Guns
ABBA - Gimme! Gimme! Gimme! (A Man After Midnight),Medley Abba: Voulez-Vous / Gimme! Gimme! Gimme! (A Man After Midnight) / Waterloo
Abba - Dancing Queen,Dancing Queen - ABBA DJ Remix
Abba - Mamma Mia,The Best of Abba - Mamma Mia
Abba - SOS,"Keyboard Sonata in G Minor, Op. 50 No. 3 ""Didone abbandonata"": I. Introduzione. Largo patetico e sostenuto - Allegro, ma con espressione"
Adele - Rolling in the Deep,Rolling in The Deep (in the syle of Adele)
Adele - Someone Like You,Adele (Someone like you) - Live
All of Me - John Legend,All of Me - Tiësto's Birthday Treatment Remix - Radio Edit
Bad Romance - Lady Gaga,Bad Romance - Skrillex Remix
Blinding Lights,Blinding Lights
Demons,Demons
Despacito,Despacito
Friction,Friction
Green day - Boulevard of broken dreams,Boulevard of Broken Dreams (In the Style of Green Day) [Karaoke Version]
Handlebars,Handlebars
Havana,Havana (feat. Young Thug)
Hercules,"I Won't Say (I'm In Love) - From ""Hercules"" / Soundtrack Version"
Hey There Delilah,Hey There Delilah
Hey Ya!,Hey Ya!
Ke$ha - TiK ToK,Tik Tok (Made Famous By Ke$ha)
Michael Jackson-Beat it,Beat It (A cappella tribute to Michael Jackson)
Poker Face - Lady Gaga,Poker Face - LLG vs GLG Radio Mix
See You Again,See You Again (feat. Kali Uchis)
Spice Girls - Stop,"Girls R Us Mix: Who Do You Think You Are?, Wannabe, Step To Me, Spice Up Your Life, Stop, Viva Forever, I Know Where It&apos;s At, Lady Marmalade, Never Ever, Naked, Let&apos;s Go Around Again"
Telephone - Lady Gaga,Telephone - Electrolightz Remix
Toxic,Toxic
Viva La Vida,Viva La Vida
A Friend x Force Theme,Luke Skywalker Theme (A Friend x Force Theme)
Closing Theme Song,Spongebob Closing Theme Song Music
Gary Come Home,Gary Come Home
Goofy Goober Rock,Goofy Goober Rock
Grass Skirt Chase,SpongeBob: Grass Skirt Chase - [Rude E9 Remix]
Jellyfish Jam,Jellyfish Jam
Ripped Pants,Ripped Pants
Sweet Victory,Sweet Victory
The Campfire Song Song,The Campfire Song
The Mob,Seven Nation Army - The Glitch Mob Remix
Twelfth Street Rag,Twelfth Street Rag
Cantina,Al Filo De La Alegría - Cantiñas / En Directo
Duel of the Fates,Duel of the Fates
March of the Resistance,March of the Resistance
Rogue One,Rogue One
Star Wars - Love,"Across the Stars (Love Theme) - From ""Star Wars: Attack Of The Clones"""
The Force,Would You Still Be There
The Imperial March,"The Imperial March - From ""Star Wars: The Empire Strikes Back"""
The Mandalorian Theme,Boba Fett Theme (The Book of Boba Fett)
Throne Room,"Throne Room & Finale - From ""Star Wars: A New Hope"""
Mississippi Queen,Mississippi Queen
The Devil Went Down to Georgia,The Devil Went Down to Georgia
Welcome To New York,Welcome To New York
ZZ Top My Head's in Mississippi,My Head's in Mississippi (In the Style of ZZ Top) [Karaoke Version]
Ancient Stones,Ancient Stones
Aurora,PARAMOUR (feat. AURORA)
Far Horizons,Far Horizons
From Past to Present,From Past to Present
Secunda,Secunda
The City Gates,The City Gates
The Streets of Whiterun,The Streets of Whiterun
11th Doctor Theme,11th Doctor Theme Recreation v2
All the Strange Creatures,All the Strange Creatures (The Trailer Music)
Batman Beyond Theme,Batman Beyond Theme
Ben 10 Theme,"Ben 10 Main Theme (From ""Ben 10"")"
Captain Jack's Theme,Captain Jack's Theme
Danny Phantom Theme,"Danny Phantom Theme (from ""Danny Phantom"")"
Doomsday Theme,"Doomsday from ""Doctor Who"""
For the Damaged Coda,For the Damaged Coda
Fox Sports Theme,Fox Football Sports Theme
Goosebumps Theme,Goosebumps Theme
Owen's Theme,Owen's Theme
Phineas & Ferb Theme,Today is Gonna be a Great Day - Theme Song to Phineas and Ferb
Scooby Doo Theme Song,Scooby-Doo (Scooby-Doo Theme Song)
The Pink Panther Theme Song,The Pink Panther Theme - (Tango / 33 BPM)
Wizards Of Waverly Place Theme,Everything is Not What it Seems - Theme Song to Wizards of Waverly Place
X-Files Theme,The X-Files Theme (Main Title: Materia Primoris)
Taylor Swift - Blank Space,Blank Space (Karaoke Instrumental Extended) - Originally Performed By Taylor Swift
Taylor Swift - Cruel Summer,Cruel Summer (Originally Performed by Taylor Swift) - Piano Karaoke Version
Taylor Swift - I Knew You Were Trouble,"Taylor Swift, I Knew You Were Trouble! (Dubstep Mix) - Original"
Taylor Swift - Look What You Made Me Do,Look What You Made Me Do (Made Popular By Taylor Swift) [Instrumental Version]
Taylor Swift - Mean,Mean - Originally By Taylor Swift
Taylor Swift - Shake It Off,Taylor Swift - Shake It Off - [DJ Wrekk Trap Mashup]
Taylor Swift - Wildest Dreams,Wildest Dreams (Taylor's Version)
Taylor Swift - You Belong With Me,You Belong with Me - Taylor Swift
Taylor Swift - champagne problems,champagne problems (Originally Performed by Taylor Swift) - Piano Karaoke Version
invisible string,invisible string
(Don't Fear) The Reaper - Blue Oyster Cult,Don’t Fear The Reaper - Blue Oyster Cult cover
Baba O'riley,Baba O'Riley
Breathe,Don't Wanna Breathe
Burning Down the House,Burning Down the House
Californication,Californication
Come Together,Come Together - Remastered 2009
Comfortably Numb,Comfortably Numb
Cream - Sunshine Of Your Love,Sunshine Of Your Love - Cream Cover
David Bowie - Starman,Starman - (Tribute to David Bowie)
Dream On,Walking On A Dream
Everybody Hurts,Everybody Hurts
Free Bird,Free Bird
Hooked on a Feeling,Hooked On A Feeling
House Of The Rising Sun,House Of The Rising Sun
In The End - Linkin Park,In The End - Linkin Park
Jefferson Airplane - White Rabbit,White Rabbit (Originally Performed By Jefferson Airplane) - Karaoke Version
"Lawyers, Guns and Money","Lawyers, Guns and Money - 2007 Remaster"
Live And Let Die,Live And Let Die
Mary Jane's Last Dance,Mary Jane's Last Dance
Metallica - Nothing else matters,Color Theory - Nothing Else Matters (Metallica)
Moonage Daydream,Moonage Daydream - 2012 Remaster
Once In A Lifetime,Once in a Lifetime - 2005 Remaster
"Paint It, Black","Paint It, Black"
Psycho Killer,Psycho Killer - 2005 Remaster
Something In The Way - Nirvana,Something In The Way
Space Oddity,Space Oddity - 2015 Remaster
Sympathy For The Devil - The Rolling Stones,Sympathy For The Devil - 50th Anniversary Edition
Teardrop,Teardrops On My Guitar - Radio Single Remix
The Cranberries - Zombie,Zombie - Live From The Feile Festival/1994
The Jimi Hendrix Experience - All Along The Watcht,All Along The Watchtower - previously unreleased alternate mix
Time,Out of Time
We Can Work it Out,We Can Work It Out
Wish You Were Here,Wish You Were Here
Amish Paradise,"Amish Paradise (Parody of ""Gangsta's Paradise"" by Coolio)"
Ebay - Weird Al Yankovic,Ebay (In The Style Of Weird Al Yankovic)
Fat,Father Stretch My Hands Pt. 1
Foil,Foil
Handy,Handy Man
Lame Claim to Fame,Lame Claim to Fame
Party in the CIA,"Party In the CIA (Parody of ""Party In The U.S.A."" by Miley Cyrus)"
Smells Like Nirvana,Smells Like Teen Spirit
Tacky,Tacky
The Saga Begins,"The Saga Begins (Lyrical Adaption of ""American Pie"")"
White and Nerdy,"White & Nerdy (Parody of ""Ridin'"" by Chamillionaire feat. Krayzie Bone)"
Word Crimes,Word Crimes
Yoda - Weird Al,Yoda (Originally Performed By Weird Al Yankovich) - Karaoke Version
